1 5.9012
2 11.836
3 17.698
4 23.485
5 28.892
10 40.142
15 45.048
20 48.289
25 53.641
30 81.894
35 91.689
40 96.409
45 99.696
50 107.28
55 134.04
60 143.07
65 148.08
70 151.23
75 160.87
80 185.58
85 194.51
90 199.65
95 202.77
100 214.43
